frame_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,0.003479004,0.00012207031,0.01159668,0.010681152,0.014282227,0.056152344,0.08935547,0.14068604,0.1315918,0.21435547,0.072387695,0.10455322,0.04296875,0.022216797,0.0134887695,0.0028076172,0.045288086,0.023986816,0.0012207031,0.0,0.01574707,0.011230469,0.010070801,0.043701172,0.07598877,0.12658691,0.11541748,0.22467041,0.06451416,0.11816406,0.04321289,0.019836426,0.016601562,0.005065918,0.08258057,0.025390625,0.0026855469,0.00012207031,0.014404297,0.013000488,0.014038086,0.05255127,0.083740234,0.11798096,0.11340332,0.20605469,0.07598877,0.113098145,0.04724121,0.024169922,0.015319824,0.004638672,0.06738281,0.034179688,0.00036621094,0.0,0.0065307617,0.0068969727,0.0059814453,0.04333496,0.078063965,0.10070801,0.097961426,0.23699951,0.051452637,0.14868164,0.053100586,0.025146484,0.017700195,0.005126953,0.099975586,0.021972656
1,0.0079956055,0.018249512,0.021240234,0.02178955,0.017700195,0.035095215,0.053771973,0.11279297,0.2876587,0.11022949,0.04144287,0.038391113,0.019592285,0.017578125,0.017822266,0.022888184,0.05871582,0.0970459,0.010437012,0.014831543,0.01574707,0.018554688,0.021850586,0.038330078,0.06323242,0.13653564,0.24676514,0.14440918,0.06085205,0.044555664,0.028015137,0.01776123,0.016174316,0.012145996,0.030944824,0.07885742,0.010253906,0.013183594,0.0154418945,0.025512695,0.02130127,0.034729004,0.051696777,0.1373291,0.23638916,0.14868164,0.061523438,0.043701172,0.026428223,0.023986816,0.018676758,0.014526367,0.038146973,0.07849121,0.0065307617,0.008117676,0.014953613,0.016723633,0.019592285,0.03540039,0.058288574,0.11755371,0.1817627,0.15844727,0.06500244,0.07055664,0.032104492,0.025817871,0.022155762,0.014038086,0.08880615,0.06414795
2,0.007751465,0.016662598,0.019165039,0.020996094,0.01965332,0.035949707,0.057800293,0.11395264,0.2878418,0.10662842,0.042114258,0.039855957,0.020324707,0.015136719,0.020690918,0.022888184,0.05419922,0.09838867,0.010192871,0.012878418,0.017089844,0.018920898,0.022338867,0.039855957,0.062927246,0.1375122,0.24591064,0.1451416,0.06335449,0.04559326,0.026306152,0.019470215,0.0146484375,0.012084961,0.03161621,0.074157715,0.009765625,0.014038086,0.016113281,0.023498535,0.022888184,0.032958984,0.051879883,0.1395874,0.24041748,0.14367676,0.058654785,0.044311523,0.027648926,0.020507812,0.019348145,0.013916016,0.039245605,0.08154297,0.006652832,0.0087890625,0.0138549805,0.017578125,0.020385742,0.03173828,0.0546875,0.121154785,0.18334961,0.16070557,0.064819336,0.06976318,0.032836914,0.024902344,0.022766113,0.014770508,0.083984375,0.06726074
3,0.0076293945,0.016784668,0.018920898,0.01977539,0.019836426,0.037841797,0.05609131,0.11529541,0.28619385,0.10876465,0.043395996,0.038024902,0.020019531,0.016174316,0.021728516,0.024841309,0.05255127,0.09613037,0.009033203,0.014526367,0.018005371,0.018310547,0.021972656,0.040039062,0.06665039,0.13146973,0.24420166,0.14605713,0.06506348,0.04449463,0.0256958,0.020812988,0.016662598,0.011169434,0.028686523,0.07714844,0.00982666,0.012878418,0.018859863,0.022888184,0.0211792,0.035339355,0.05480957,0.13946533,0.24047852,0.14379883,0.058898926,0.045654297,0.024169922,0.025512695,0.01751709,0.01373291,0.038330078,0.076660156,0.0068969727,0.008850098,0.015075684,0.018310547,0.017700195,0.030273438,0.054992676,0.11730957,0.18560791,0.15393066,0.066467285,0.06896973,0.03375244,0.024597168,0.023498535,0.0134887695,0.08703613,0.07324219
4,0.008422852,0.018615723,0.015991211,0.02142334,0.021057129,0.036315918,0.05859375,0.113098145,0.2901001,0.10406494,0.043640137,0.039978027,0.020263672,0.017578125,0.018859863,0.02355957,0.0513916,0.0970459,0.009033203,0.014709473,0.015075684,0.020812988,0.020996094,0.04034424,0.064819336,0.13330078,0.24859619,0.14111328,0.06591797,0.043518066,0.026550293,0.020019531,0.014831543,0.010986328,0.03161621,0.07775879,0.009765625,0.012451172,0.016357422,0.024414062,0.024291992,0.033325195,0.05706787,0.13696289,0.24682617,0.14727783,0.053894043,0.043029785,0.025756836,0.023925781,0.018920898,0.013916016,0.035888672,0.075927734,0.0064697266,0.010681152,0.013793945,0.01727295,0.018920898,0.032348633,0.05493164,0.11584473,0.18103027,0.16021729,0.06304932,0.07092285,0.03302002,0.024963379,0.022216797,0.01361084,0.0871582,0.07354736
5,0.0016479492,0.0005493164,0.009216309,0.012756348,0.010375977,0.07763672,0.076538086,0.11053467,0.1270752,0.18536377,0.072631836,0.11022949,0.066711426,0.034240723,0.009521484,0.0036010742,0.06201172,0.02935791,0.00091552734,0.0013427734,0.0045776367,0.010070801,0.004638672,0.06744385,0.06903076,0.08068848,0.09954834,0.17077637,0.057128906,0.12542725,0.07678223,0.03643799,0.015319824,0.009277344,0.14007568,0.030517578,0.0018310547,0.00091552734,0.012084961,0.013366699,0.008239746,0.07165527,0.07330322,0.09844971,0.10656738,0.17852783,0.06512451,0.11767578,0.070129395,0.035217285,0.013671875,0.0056762695,0.09265137,0.03491211,0.00079345703,0.0015258789,0.005065918,0.0095825195,0.004272461,0.05407715,0.061279297,0.076660156,0.07745361,0.19677734,0.04638672,0.13781738,0.07269287,0.03466797,0.017578125,0.008239746,0.16363525,0.03149414
6,0.0025634766,0.0017089844,0.010253906,0.011230469,0.0095825195,0.079956055,0.07745361,0.10998535,0.12878418,0.18121338,0.07397461,0.11102295,0.06628418,0.03314209,0.010681152,0.003479004,0.05731201,0.03137207,0.0006713867,0.0010375977,0.004333496,0.008300781,0.0048828125,0.06561279,0.068237305,0.07946777,0.09338379,0.17114258,0.05657959,0.13330078,0.07800293,0.033996582,0.016296387,0.0095825195,0.14868164,0.026489258,0.0014038086,0.0008544922,0.011108398,0.012145996,0.008483887,0.072265625,0.074279785,0.101989746,0.1126709,0.17700195,0.0670166,0.11584473,0.07110596,0.030334473,0.012512207,0.005554199,0.09136963,0.034057617,0.00030517578,0.0018310547,0.005065918,0.010131836,0.005004883,0.0546875,0.059936523,0.077941895,0.07513428,0.19720459,0.047180176,0.13513184,0.07342529,0.032104492,0.017456055,0.0075683594,0.16497803,0.03491211
7,0.0071411133,0.016113281,0.016662598,0.021911621,0.019104004,0.0345459,0.058166504,0.12017822,0.2826538,0.107421875,0.043945312,0.036499023,0.020996094,0.018676758,0.016601562,0.022460938,0.057678223,0.099243164,0.008666992,0.0138549805,0.017456055,0.020751953,0.021057129,0.038757324,0.05895996,0.13287354,0.25878906,0.14025879,0.064331055,0.041931152,0.028625488,0.019958496,0.0146484375,0.012390137,0.02722168,0.07946777,0.011047363,0.009094238,0.016601562,0.028198242,0.024658203,0.034423828,0.054626465,0.14025879,0.2515869,0.14562988,0.052856445,0.042541504,0.023986816,0.020263672,0.018554688,0.012939453,0.03643799,0.076293945,0.006652832,0.009887695,0.015136719,0.020629883,0.018371582,0.034973145,0.055541992,0.1161499,0.1887207,0.14953613,0.06555176,0.06640625,0.03186035,0.026794434,0.022155762,0.014831543,0.08557129,0.07122803
8,0.0068969727,0.016052246,0.015014648,0.02154541,0.018798828,0.037719727,0.059387207,0.117614746,0.2845459,0.105651855,0.043884277,0.039733887,0.018005371,0.01727295,0.018310547,0.024719238,0.057556152,0.09729004,0.010314941,0.012268066,0.017028809,0.020324707,0.021972656,0.039123535,0.064453125,0.12780762,0.2611084,0.14245605,0.062561035,0.041137695,0.026245117,0.019836426,0.014709473,0.012390137,0.026367188,0.07989502,0.00982666,0.011169434,0.015686035,0.026245117,0.024719238,0.03515625,0.056762695,0.14141846,0.24523926,0.14581299,0.057922363,0.038391113,0.026611328,0.020324707,0.018920898,0.01184082,0.034301758,0.07965088,0.00793457,0.010681152,0.013793945,0.019226074,0.01776123,0.034362793,0.05480957,0.11816406,0.18267822,0.1574707,0.06439209,0.06518555,0.0345459,0.023864746,0.022399902,0.012878418,0.08581543,0.074035645
9,0.008422852,0.015197754,0.015686035,0.019958496,0.018798828,0.03540039,0.05657959,0.117248535,0.28759766,0.10522461,0.04522705,0.038146973,0.01940918,0.017578125,0.019592285,0.025146484,0.05883789,0.095947266,0.009887695,0.013305664,0.018005371,0.020263672,0.020019531,0.039978027,0.06237793,0.13140869,0.26550293,0.1359253,0.061340332,0.04425049,0.025939941,0.019470215,0.014587402,0.012512207,0.025634766,0.079589844,0.009643555,0.010803223,0.01763916,0.02557373,0.025817871,0.0345459,0.055114746,0.13873291,0.25787354,0.14935303,0.049987793,0.040283203,0.02331543,0.020751953,0.018798828,0.0126953125,0.032165527,0.0769043,0.008239746,0.00970459,0.016601562,0.017333984,0.018798828,0.032226562,0.05206299,0.1217041,0.18780518,0.15368652,0.06719971,0.06463623,0.032470703,0.026306152,0.02154541,0.014038086,0.08166504,0.07397461
