frame_index,video_frame_no,used_stride,face_crop_applied
0,0,1,True
1,1,1,True
2,2,1,True
3,3,1,True
4,4,1,True
5,5,1,True
6,6,1,True
7,7,1,True
8,8,1,True
9,9,1,True
10,10,1,True
11,11,1,True
12,12,1,True
13,13,1,True
14,14,1,True
15,15,1,True
16,16,1,True
17,17,1,True
18,18,1,True
19,19,1,True
20,20,1,True
21,21,1,True
22,22,1,True
23,23,1,True
24,24,1,True
25,25,1,True
26,26,1,True
27,27,1,True
28,28,1,True
29,29,1,True
30,30,1,True
31,31,1,True
32,32,1,True
33,33,1,True
34,34,1,True
35,35,1,True
36,36,1,True
37,37,1,True
38,38,1,True
39,39,1,True
40,40,1,True
41,41,1,True
42,42,1,True
43,43,1,True
44,44,1,True
45,45,1,True
46,46,1,True
47,47,1,True
48,48,1,True
49,49,1,True
50,50,1,True
51,51,1,True
52,52,1,True
53,53,1,True
54,54,1,True
55,55,1,True
56,56,1,True
57,57,1,True
58,58,1,True
59,59,1,True
60,60,1,True
61,61,1,True
62,62,1,True
63,63,1,True
64,64,1,True
