base_feature_index,desc,mean,std
0,"grid(0,0) bin=0 [uniform (~0 ones)]",0.006891338620334864,0.0019497686298564076
1,"grid(0,0) bin=1 [uniform (~1 ones)]",0.012438965030014515,0.004870368167757988
2,"grid(0,0) bin=2 [uniform (~2 ones)]",0.015646597370505333,0.002791555831208825
3,"grid(0,0) bin=3 [uniform (~3 ones)]",0.019716233015060425,0.003014742396771908
4,"grid(0,0) bin=4 [uniform (~4 ones)]",0.019855204969644547,0.003734003519639373
5,"grid(0,0) bin=5 [uniform (~5 ones)]",0.04034048318862915,0.014035681262612343
6,"grid(0,0) bin=6 [uniform (~6 ones)]",0.060744065791368484,0.00869718473404646
7,"grid(0,0) bin=7 [uniform (~7 ones)]",0.13410738110542297,0.01574607752263546
8,"grid(0,0) bin=8 [uniform (~8 ones)]",0.2554415166378021,0.04803583770990372
9,"grid(0,0) bin=9 [uniform (~9 ones)]",0.1218036338686943,0.02392684854567051
10,"grid(0,0) bin=10 [uniform (~10 ones)]",0.047487229108810425,0.00985493790358305
11,"grid(0,0) bin=11 [uniform (~11 ones)]",0.046535082161426544,0.022653454914689064
12,"grid(0,0) bin=12 [uniform (~12 ones)]",0.024143630638718605,0.015210301615297794
13,"grid(0,0) bin=13 [uniform (~13 ones)]",0.019093675538897514,0.005369147285819054
14,"grid(0,0) bin=14 [uniform (~14 ones)]",0.01792837306857109,0.0030481363646686077
15,"grid(0,0) bin=15 [uniform (~15 ones)]",0.020322829484939575,0.006539263762533665
16,"grid(0,0) bin=16 [uniform (~16 ones)]",0.05186016485095024,0.005594989750534296
17,"grid(0,0) bin=17 [non-uniform]",0.08564358949661255,0.021671775728464127
18,"grid(0,1) bin=0 [uniform (~0 ones)]",0.008975923992693424,0.003240534570068121
19,"grid(0,1) bin=1 [uniform (~1 ones)]",0.013076547533273697,0.004892674740403891
20,"grid(0,1) bin=2 [uniform (~2 ones)]",0.01704946719110012,0.0045273276045918465
21,"grid(0,1) bin=3 [uniform (~3 ones)]",0.020880596712231636,0.004359414801001549
22,"grid(0,1) bin=4 [uniform (~4 ones)]",0.020366962999105453,0.0056582121178507805
23,"grid(0,1) bin=5 [uniform (~5 ones)]",0.038401443511247635,0.009024446830153465
24,"grid(0,1) bin=6 [uniform (~6 ones)]",0.0599214993417263,0.005878954194486141
25,"grid(0,1) bin=7 [uniform (~7 ones)]",0.13686804473400116,0.01933145336806774
26,"grid(0,1) bin=8 [uniform (~8 ones)]",0.23046593368053436,0.050746239721775055
27,"grid(0,1) bin=9 [uniform (~9 ones)]",0.14275559782981873,0.016430892050266266
28,"grid(0,1) bin=10 [uniform (~10 ones)]",0.05188457667827606,0.006664286833256483
29,"grid(0,1) bin=11 [uniform (~11 ones)]",0.04938871040940285,0.030072681605815887
30,"grid(0,1) bin=12 [uniform (~12 ones)]",0.02884051948785782,0.015725398436188698
31,"grid(0,1) bin=13 [uniform (~13 ones)]",0.021397048607468605,0.0041602663695812225
32,"grid(0,1) bin=14 [uniform (~14 ones)]",0.018182842060923576,0.001916504348628223
33,"grid(0,1) bin=15 [uniform (~15 ones)]",0.014731070026755333,0.0033963609021157026
34,"grid(0,1) bin=16 [uniform (~16 ones)]",0.04692758247256279,0.034456729888916016
35,"grid(0,1) bin=17 [non-uniform]",0.07988563179969788,0.020057594403624535
36,"grid(1,0) bin=0 [uniform (~0 ones)]",0.009371244348585606,0.0032306541688740253
37,"grid(1,0) bin=1 [uniform (~1 ones)]",0.009666090831160545,0.0035459038335829973
38,"grid(1,0) bin=2 [uniform (~2 ones)]",0.014813701622188091,0.002260183449834585
39,"grid(1,0) bin=3 [uniform (~3 ones)]",0.022295672446489334,0.004005616996437311
40,"grid(1,0) bin=4 [uniform (~4 ones)]",0.021593298763036728,0.005133884958922863
41,"grid(1,0) bin=5 [uniform (~5 ones)]",0.040322642773389816,0.011827576905488968
42,"grid(1,0) bin=6 [uniform (~6 ones)]",0.05930269509553909,0.007887165062129498
43,"grid(1,0) bin=7 [uniform (~7 ones)]",0.13225848972797394,0.01286347210407257
44,"grid(1,0) bin=8 [uniform (~8 ones)]",0.22821983695030212,0.048298921436071396
45,"grid(1,0) bin=9 [uniform (~9 ones)]",0.14309081435203552,0.015794895589351654
46,"grid(1,0) bin=10 [uniform (~10 ones)]",0.05658804252743721,0.006491833366453648
47,"grid(1,0) bin=11 [uniform (~11 ones)]",0.05347524955868721,0.0238832775503397
48,"grid(1,0) bin=12 [uniform (~12 ones)]",0.03115985542535782,0.014573843218386173
49,"grid(1,0) bin=13 [uniform (~13 ones)]",0.024065691977739334,0.004133145324885845
50,"grid(1,0) bin=14 [uniform (~14 ones)]",0.018966909497976303,0.002545303665101528
