feature_index,desc,value
0,"mean grid(0,0) bin=0 [uniform (~0 ones)]",0.006891338620334864
1,"mean grid(0,0) bin=1 [uniform (~1 ones)]",0.012438965030014515
2,"mean grid(0,0) bin=2 [uniform (~2 ones)]",0.015646597370505333
3,"mean grid(0,0) bin=3 [uniform (~3 ones)]",0.019716233015060425
4,"mean grid(0,0) bin=4 [uniform (~4 ones)]",0.019855204969644547
5,"mean grid(0,0) bin=5 [uniform (~5 ones)]",0.04034048318862915
6,"mean grid(0,0) bin=6 [uniform (~6 ones)]",0.060744065791368484
7,"mean grid(0,0) bin=7 [uniform (~7 ones)]",0.13410738110542297
8,"mean grid(0,0) bin=8 [uniform (~8 ones)]",0.2554415166378021
9,"mean grid(0,0) bin=9 [uniform (~9 ones)]",0.1218036338686943
10,"mean grid(0,0) bin=10 [uniform (~10 ones)]",0.047487229108810425
11,"mean grid(0,0) bin=11 [uniform (~11 ones)]",0.046535082161426544
12,"mean grid(0,0) bin=12 [uniform (~12 ones)]",0.024143630638718605
13,"mean grid(0,0) bin=13 [uniform (~13 ones)]",0.019093675538897514
14,"mean grid(0,0) bin=14 [uniform (~14 ones)]",0.01792837306857109
15,"mean grid(0,0) bin=15 [uniform (~15 ones)]",0.020322829484939575
16,"mean grid(0,0) bin=16 [uniform (~16 ones)]",0.05186016485095024
17,"mean grid(0,0) bin=17 [non-uniform]",0.08564358949661255
18,"mean grid(0,1) bin=0 [uniform (~0 ones)]",0.008975923992693424
19,"mean grid(0,1) bin=1 [uniform (~1 ones)]",0.013076547533273697
20,"mean grid(0,1) bin=2 [uniform (~2 ones)]",0.01704946719110012
21,"mean grid(0,1) bin=3 [uniform (~3 ones)]",0.020880596712231636
22,"mean grid(0,1) bin=4 [uniform (~4 ones)]",0.020366962999105453
23,"mean grid(0,1) bin=5 [uniform (~5 ones)]",0.038401443511247635
24,"mean grid(0,1) bin=6 [uniform (~6 ones)]",0.0599214993417263
25,"mean grid(0,1) bin=7 [uniform (~7 ones)]",0.13686804473400116
26,"mean grid(0,1) bin=8 [uniform (~8 ones)]",0.23046593368053436
27,"mean grid(0,1) bin=9 [uniform (~9 ones)]",0.14275559782981873
28,"mean grid(0,1) bin=10 [uniform (~10 ones)]",0.05188457667827606
29,"mean grid(0,1) bin=11 [uniform (~11 ones)]",0.04938871040940285
30,"mean grid(0,1) bin=12 [uniform (~12 ones)]",0.02884051948785782
31,"mean grid(0,1) bin=13 [uniform (~13 ones)]",0.021397048607468605
32,"mean grid(0,1) bin=14 [uniform (~14 ones)]",0.018182842060923576
33,"mean grid(0,1) bin=15 [uniform (~15 ones)]",0.014731070026755333
34,"mean grid(0,1) bin=16 [uniform (~16 ones)]",0.04692758247256279
35,"mean grid(0,1) bin=17 [non-uniform]",0.07988563179969788
36,"mean grid(1,0) bin=0 [uniform (~0 ones)]",0.009371244348585606
37,"mean grid(1,0) bin=1 [uniform (~1 ones)]",0.009666090831160545
38,"mean grid(1,0) bin=2 [uniform (~2 ones)]",0.014813701622188091
39,"mean grid(1,0) bin=3 [uniform (~3 ones)]",0.022295672446489334
40,"mean grid(1,0) bin=4 [uniform (~4 ones)]",0.021593298763036728
41,"mean grid(1,0) bin=5 [uniform (~5 ones)]",0.040322642773389816
42,"mean grid(1,0) bin=6 [uniform (~6 ones)]",0.05930269509553909
43,"mean grid(1,0) bin=7 [uniform (~7 ones)]",0.13225848972797394
44,"mean grid(1,0) bin=8 [uniform (~8 ones)]",0.22821983695030212
45,"mean grid(1,0) bin=9 [uniform (~9 ones)]",0.14309081435203552
46,"mean grid(1,0) bin=10 [uniform (~10 ones)]",0.05658804252743721
47,"mean grid(1,0) bin=11 [uniform (~11 ones)]",0.05347524955868721
48,"mean grid(1,0) bin=12 [uniform (~12 ones)]",0.03115985542535782
49,"mean grid(1,0) bin=13 [uniform (~13 ones)]",0.024065691977739334
50,"mean grid(1,0) bin=14 [uniform (~14 ones)]",0.018966909497976303
51,"mean grid(1,0) bin=15 [uniform (~15 ones)]",0.01315918006002903
52,"mean grid(1,0) bin=16 [uniform (~16 ones)]",0.05014742165803909
53,"mean grid(1,0) bin=17 [non-uniform]",0.0715031549334526
54,"mean grid(1,1) bin=0 [uniform (~0 ones)]",0.0076904296875
55,"mean grid(1,1) bin=1 [uniform (~1 ones)]",0.009546837769448757
56,"mean grid(1,1) bin=2 [uniform (~2 ones)]",0.014232459478080273
57,"mean grid(1,1) bin=3 [uniform (~3 ones)]",0.018996018916368484
58,"mean grid(1,1) bin=4 [uniform (~4 ones)]",0.018303973600268364
59,"mean grid(1,1) bin=5 [uniform (~5 ones)]",0.0369873046875
60,"mean grid(1,1) bin=6 [uniform (~6 ones)]",0.0583345852792263
61,"mean grid(1,1) bin=7 [uniform (~7 ones)]",0.12132098525762558
62,"mean grid(1,1) bin=8 [uniform (~8 ones)]",0.1928410530090332
63,"mean grid(1,1) bin=9 [uniform (~9 ones)]",0.15931396186351776
64,"mean grid(1,1) bin=10 [uniform (~10 ones)]",0.0661470890045166
65,"mean grid(1,1) bin=11 [uniform (~11 ones)]",0.06938570737838745
66,"mean grid(1,1) bin=12 [uniform (~12 ones)]",0.03637601435184479
67,"mean grid(1,1) bin=13 [uniform (~13 ones)]",0.025608474388718605
68,"mean grid(1,1) bin=14 [uniform (~14 ones)]",0.01905048079788685
69,"mean grid(1,1) bin=15 [uniform (~15 ones)]",0.011514047160744667
70,"mean grid(1,1) bin=16 [uniform (~16 ones)]",0.0687481239438057
71,"mean grid(1,1) bin=17 [non-uniform]",0.06560246646404266
72,"std  grid(0,0) bin=0 [uniform (~0 ones)]",0.0019497686298564076
73,"std  grid(0,0) bin=1 [uniform (~1 ones)]",0.004870368167757988
74,"std  grid(0,0) bin=2 [uniform (~2 ones)]",0.002791555831208825
75,"std  grid(0,0) bin=3 [uniform (~3 ones)]",0.003014742396771908
76,"std  grid(0,0) bin=4 [uniform (~4 ones)]",0.003734003519639373
77,"std  grid(0,0) bin=5 [uniform (~5 ones)]",0.014035681262612343
78,"std  grid(0,0) bin=6 [uniform (~6 ones)]",0.00869718473404646
79,"std  grid(0,0) bin=7 [uniform (~7 ones)]",0.01574607752263546
80,"std  grid(0,0) bin=8 [uniform (~8 ones)]",0.04803583770990372
81,"std  grid(0,0) bin=9 [uniform (~9 ones)]",0.02392684854567051
82,"std  grid(0,0) bin=10 [uniform (~10 ones)]",0.00985493790358305
83,"std  grid(0,0) bin=11 [uniform (~11 ones)]",0.022653454914689064
84,"std  grid(0,0) bin=12 [uniform (~12 ones)]",0.015210301615297794
85,"std  grid(0,0) bin=13 [uniform (~13 ones)]",0.005369147285819054
86,"std  grid(0,0) bin=14 [uniform (~14 ones)]",0.0030481363646686077
87,"std  grid(0,0) bin=15 [uniform (~15 ones)]",0.006539263762533665
88,"std  grid(0,0) bin=16 [uniform (~16 ones)]",0.005594989750534296
89,"std  grid(0,0) bin=17 [non-uniform]",0.021671775728464127
90,"std  grid(0,1) bin=0 [uniform (~0 ones)]",0.003240534570068121
91,"std  grid(0,1) bin=1 [uniform (~1 ones)]",0.004892674740403891
92,"std  grid(0,1) bin=2 [uniform (~2 ones)]",0.0045273276045918465
