filepath,filename,label
data\sdfvd2.0\not_real\fake_vs10_aug_0-FuLJWb-1V99te-oAF7Cl.mp4,fake_vs10_aug_0-FuLJWb-1V99te-oAF7Cl.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_0-if9E0y-c76x32-0x81kS-VFM3mL.mp4,fake_vs10_aug_0-if9E0y-c76x32-0x81kS-VFM3mL.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_1-dq6GCO-OEcQE3-nIzeY6-eNTdNp.mp4,fake_vs10_aug_1-dq6GCO-OEcQE3-nIzeY6-eNTdNp.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_1-n2eMB8-qoZDDB-i6xXL1.mp4,fake_vs10_aug_1-n2eMB8-qoZDDB-i6xXL1.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_2-9lqvO4-5F1dqq-pQz3tv-3N2Jl5.mp4,fake_vs10_aug_2-9lqvO4-5F1dqq-pQz3tv-3N2Jl5.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_2-W4a4A1-su9AOh-326EG0.mp4,fake_vs10_aug_2-W4a4A1-su9AOh-326EG0.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_3-72xBjm-3Dz2xS-OyNHiZ-4gDsdW.mp4,fake_vs10_aug_3-72xBjm-3Dz2xS-OyNHiZ-4gDsdW.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_3-dmPwof-PSMMPl-sjhuzV.mp4,fake_vs10_aug_3-dmPwof-PSMMPl-sjhuzV.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_4-3yEq4I-hkIQdw-sKEGST.mp4,fake_vs10_aug_4-3yEq4I-hkIQdw-sKEGST.mp4,not_real
data\sdfvd2.0\not_real\fake_vs10_aug_4-cPoSYD-yp6rZr-LwA3P1-vuvVhv.mp4,fake_vs10_aug_4-cPoSYD-yp6rZr-LwA3P1-vuvVhv.mp4,not_real
